1.1.1.1,"Alcoholdehydrogenase"
1.1.1.22,"UDP-glucose6-dehydrogenase"
1.1.1.225,"Chlordeconereductase"
1.1.1.23,"Histidinoldehydrogenase"
1.1.1.233,"N-acylmannosamine1-dehydrogenase"
1.1.1.234,"Flavanone4-reductase"
1.1.1.236,"TropinonereductaseII"
1.1.1.24,"Quinatedehydrogenase"
1.1.1.244,"Methanoldehydrogenase"
1.1.1.25,"Shikimatedehydrogenase"
1.1.1.250,"D-arabinitol2-dehydrogenase"
1.1.1.251,"Galactitol-1-phosphate5-dehydrogenase"
1.1.1.252,"Tetrahydroxynaphthalenereductase"
1.1.1.255,"Mannitoldehydrogenase"
1.1.1.26,"Glyoxylatereductase"
1.1.1.261,"Glycerol-1-phosphatedehydrogenase(NAD(P)(+))"
1.1.1.262,"4-hydroxythreonine-4-phosphatedehydrogenase"
1.1.1.263,"1,5-anhydro-D-fructosereductase"
1.1.1.264,"L-idonate5-dehydrogenase"
1.1.1.267,"1-deoxy-D-xylulose-5-phosphatereductoisomerase"
1.1.1.268,"2-(R)-hydroxypropyl-CoMdehydrogenase"
1.1.1.269,"2-(S)-hydroxypropyl-CoMdehydrogenase"
1.1.1.27,"L-lactatedehydrogenase"
1.1.1.270,"3-keto-steroidreductase"
1.1.1.271,"GDP-L-fucosesynthase"
1.1.1.272,"(R)-2-hydroxyaciddehydrogenase"
1.1.1.274,"2,5-didehydrogluconatereductase"
1.1.1.276,"Serine3-dehydrogenase"
1.1.1.28,"D-lactatedehydrogenase"
1.1.1.282,"Quinate/shikimatedehydrogenase"
1.1.1.283,"Methylglyoxalreductase(NADPH-dependent)"
1.1.1.284,"S-(hydroxymethyl)glutathionedehydrogenase"
1.1.1.288,"Xanthoxindehydrogenase"
1.1.1.289,"Sorbosereductase"
1.1.1.29,"Glyceratedehydrogenase"
1.1.1.290,"4-phosphoerythronatedehydrogenase"
1.1.1.3,"Homoserinedehydrogenase"
1.1.1.30,"3-hydroxybutyratedehydrogenase"
1.1.1.31,"3-hydroxyisobutyratedehydrogenase"
1.1.1.34,"Hydroxymethylglutaryl-CoAreductase(NADPH)"
1.1.1.35,"3-hydroxyacyl-CoAdehydrogenase"
1.1.1.36,"Acetoacetyl-CoAreductase"
1.1.1.37,"Malatedehydrogenase"
1.1.1.38,"Malatedehydrogenase(oxaloacetate-decarboxylating)"
1.1.1.39,"Malatedehydrogenase(decarboxylating)"
1.1.1.4,"(R,R)-butanedioldehydrogenase"
1.1.1.40,"Malatedehydrogenase(oxaloacetate-decarboxylating)(NADP(+))"
1.1.1.41,"Isocitratedehydrogenase(NAD(+))"
1.1.1.42,"Isocitratedehydrogenase(NADP(+))"
1.1.1.44,"Phosphogluconatedehydrogenase(decarboxylating)"
1.1.1.47,"Glucose1-dehydrogenase"
1.1.1.48,"Galactose1-dehydrogenase"
1.1.1.49,"Glucose-6-phosphatedehydrogenase"
1.1.1.5,"Acetoindehydrogenase"
1.1.1.50,"3-alpha-hydroxysteroiddehydrogenase(B-specific)"
1.1.1.51,"3(or17)-beta-hydroxysteroiddehydrogenase"
1.1.1.53,"3-alpha-(or20-beta)-hydroxysteroiddehydrogenase"
1.1.1.56,"Ribitol2-dehydrogenase"
1.1.1.57,"Fructuronatereductase"
1.1.1.58,"Tagaturonatereductase"
1.1.1.6,"Glyceroldehydrogenase"
1.1.1.60,"2-hydroxy-3-oxopropionatereductase"
1.1.1.61,"4-hydroxybutyratedehydrogenase"
1.1.1.62,"Estradiol17-beta-dehydrogenase"
1.1.1.63,"Testosterone17-beta-dehydrogenase"
1.1.1.64,"Testosterone17-beta-dehydrogenase(NADP(+))"
1.1.1.65,"Pyridoxine4-dehydrogenase"
1.1.1.67,"Mannitol2-dehydrogenase"
1.1.1.69,"Gluconate5-dehydrogenase"
1.1.1.72,"Glyceroldehydrogenase(NADP(+))"
1.1.1.73,"Octanoldehydrogenase"
1.1.1.77,"Lactaldehydereductase"
1.1.1.79,"Glyoxylatereductase(NADP(+))"
1.1.1.8,"Glycerol-3-phosphatedehydrogenase(NAD(+))"
1.1.1.81,"Hydroxypyruvatereductase"
1.1.1.82,"Malatedehydrogenase(NADP(+))"
1.1.1.83,"D-malatedehydrogenase(decarboxylating)"
1.1.1.85,"3-isopropylmalatedehydrogenase"
1.1.1.86,"Ketol-acidreductoisomerase"
1.1.1.87,"Homoisocitratedehydrogenase"
1.1.1.88,"Hydroxymethylglutaryl-CoAreductase"
1.1.1.9,"D-xylulosereductase"
1.1.1.90,"Aryl-alcoholdehydrogenase"
1.1.1.91,"Aryl-alcoholdehydrogenase(NADP(+))"
1.1.1.93,"Tartratedehydrogenase"
1.1.1.94,"Glycerol-3-phosphatedehydrogenase(NAD(P)(+))"
1.1.1.95,"Phosphoglyceratedehydrogenase"
1.1.2.3,"L-lactatedehydrogenase(cytochrome)"
1.1.2.4,"D-lactatedehydrogenase(cytochrome)"
1.1.3.10,"Pyranoseoxidase"
1.1.3.12,"Pyridoxine4-oxidase"
1.1.3.13,"Alcoholoxidase"
1.1.3.15,"(S)-2-hydroxy-acidoxidase"
1.1.3.17,"Cholineoxidase"
1.1.3.21,"Glycerol-3-phosphateoxidase"
1.1.3.37,"D-arabinono-1,4-lactoneoxidase"
1.1.3.38,"Vanillyl-alcoholoxidase"
1.1.3.4,"Glucoseoxidase"
1.1.3.41,"Alditoloxidase"
1.1.3.6,"Cholesteroloxidase"
1.1.3.8,"L-gulonolactoneoxidase"
1.1.3.9,"Galactoseoxidase"
1.1.4.1,"Vitamin-K-epoxidereductase(warfarin-sensitive)"
1.1.5.2,"Quinoproteinglucosedehydrogenase"
1.1.5.3,"Glycerol-3-phosphatedehydrogenase"
1.1.99.1,"Cholinedehydrogenase"
1.1.99.10,"Glucosedehydrogenase(acceptor)"
1.1.99.16,"Malatedehydrogenase(acceptor)"
1.1.99.18,"Cellobiosedehydrogenase(acceptor)"
1.1.99.2,"2-hydroxyglutaratedehydrogenase"
1.1.99.22,"Glyceroldehydrogenase(acceptor)"
1.1.99.24,"Hydroxyacid-oxoacidtranshydrogenase"
1.1.99.25,"Quinatedehydrogenase(pyrroloquinoline-quinone)"
1.1.99.28,"Glucose-fructoseoxidoreductase"
1.1.99.3,"Gluconate2-dehydrogenase(acceptor)"
1.1.99.31,"(S)-mandelatedehydrogenase"
1.1.99.32,"L-sorbose1-dehydrogenase"
1.1.99.8,"Alcoholdehydrogenase(acceptor)"
1.10.2.2,"Ubiquinol--cytochrome-creductase"
1.10.3.1,"Catecholoxidase"
1.10.3.2,"Laccase"
1.10.3.3,"L-ascorbateoxidase"
1.10.99.1,"Plastoquinol--plastocyaninreductase"
1.10.99.2,"Ribosyldihydronicotinamidedehydrogenase(quinone)"
1.10.99.3,"Violaxanthinde-epoxidase"
1.11.1.1,"NADHperoxidase"
1.11.1.10,"Chlorideperoxidase"
1.11.1.11,"L-ascorbateperoxidase"
1.11.1.12,"Phospholipid-hydroperoxideglutathioneperoxidase"
1.11.1.13,"Manganeseperoxidase"
1.11.1.14,"Ligninperoxidase"
1.11.1.15,"Peroxiredoxin"
1.11.1.16,"Versatileperoxidase"
1.11.1.5,"Cytochrome-cperoxidase"
1.11.1.6,"Catalase"
1.11.1.7,"Peroxidase"
1.11.1.8,"Iodideperoxidase"
1.11.1.9,"Glutathioneperoxidase"
1.12.1.2,"Hydrogendehydrogenase"
1.12.2.1,"Cytochrome-c3hydrogenase"
1.12.5.1,"Hydrogen:quinoneoxidoreductase"
1.12.7.2,"Ferredoxinhydrogenase"
1.12.98.1,"CoenzymeF420hydrogenase"
1.12.98.2,"5,10-methenyltetrahydromethanopterinhydrogenase"
1.12.99.6,"Hydrogenase(acceptor)"
1.13.11.1,"Catechol1,2-dioxygenase"
1.13.11.11,"Tryptophan2,3-dioxygenase"
1.13.11.12,"Lipoxygenase"
1.13.11.15,"3,4-dihydroxyphenylacetate2,3-dioxygenase"
1.13.11.16,"3-carboxyethylcatechol2,3-dioxygenase"
1.13.11.19,"Cysteaminedioxygenase"
1.13.11.2,"Catechol2,3-dioxygenase"
1.13.11.20,"Cysteinedioxygenase"
1.13.11.24,"Quercetin2,3-dioxygenase"
1.13.11.27,"4-hydroxyphenylpyruvatedioxygenase"
1.13.11.3,"Protocatechuate3,4-dioxygenase"
1.13.11.31,"Arachidonate12-lipoxygenase"
1.13.11.32,"2-nitropropanedioxygenase"
1.13.11.33,"Arachidonate15-lipoxygenase"
1.13.11.34,"Arachidonate5-lipoxygenase"
1.13.11.37,"Hydroxyquinol1,2-dioxygenase"
1.13.11.39,"Biphenyl-2,3-diol1,2-dioxygenase"
1.13.11.40,"Arachidonate8-lipoxygenase"
1.13.11.44,"Linoleatediolsynthase"
1.13.11.5,"Homogentisate1,2-dioxygenase"
1.13.11.50,"Acetylacetone-cleavingenzyme"
1.13.11.51,"9-cis-epoxycarotenoiddioxygenase"
6.3.4.2,"CTPsynthase"
1.13.11.52,"Indoleamine2,3-dioxygenase"
1.13.11.53,"Acireductonedioxygenase(Ni(2+)-requiring)"
1.13.11.54,"Acireductonedioxygenase(Fe(2+)-requiring)"
1.13.11.55,"Sulfuroxygenase/reductase"
1.13.11.6,"3-hydroxyanthranilate3,4-dioxygenase"
1.13.11.8,"Protocatechuate4,5-dioxygenase"
1.13.12.14,"Chlorophyllide-aoxygenase"
1.13.12.3,"Tryptophan2-monooxygenase"
1.13.12.4,"Lactate2-monooxygenase"
1.13.12.5,"Renilla-luciferin2-monooxygenase"
1.13.12.6,"Cypridina-luciferin2-monooxygenase"
1.13.12.7,"Photinus-luciferin4-monooxygenase(ATP-hydrolyzing)"
1.13.99.1,"Inositoloxygenase"
1.14.11.1,"Gamma-butyrobetainedioxygenase"
1.14.11.11,"Hyoscyamine(6S)-dioxygenase"
1.14.11.13,"Gibberellin2-beta-dioxygenase"
1.14.11.15,"Gibberellin3-beta-dioxygenase"
1.14.11.16,"Peptide-aspartatebeta-dioxygenase"
1.14.11.17,"Taurinedioxygenase"
1.14.11.18,"Phytanoyl-CoAdioxygenase"
1.14.11.19,"Leucocyanidinoxygenase"
1.14.11.2,"Procollagen-prolinedioxygenase"
1.14.11.20,"Deacetoxyvindoline4-hydroxylase"
1.14.11.21,"Clavaminatesynthase"
1.14.11.23,"Flavonolsynthase"
1.14.11.26,"Deacetoxycephalosporin-Chydroxylase"
1.14.11.27,"[HistoneH3]-lysine-36demethylase"
1.14.11.4,"Procollagen-lysine5-dioxygenase"
1.14.11.7,"Procollagen-proline3-dioxygenase"
1.14.11.8,"Trimethyllysinedioxygenase"
1.14.11.9,"Flavanone3-dioxygenase"
1.14.12.10,"Benzoate1,2-dioxygenase"
1.14.12.11,"Toluenedioxygenase"
1.14.12.12,"Naphthalene1,2-dioxygenase"
1.14.12.13,"2-chlorobenzoate1,2-dioxygenase"
1.14.12.17,"Nitricoxidedioxygenase"
1.14.12.18,"Biphenyl2,3-dioxygenase"
1.14.12.19,"3-phenylpropanoatedioxygenase"
1.14.12.20,"Pheophorbideaoxygenase"
1.14.12.3,"Benzene1,2-dioxygenase"
1.14.12.7,"Phthalate4,5-dioxygenase"
1.14.13.1,"Salicylate1-monooxygenase"
1.14.13.100,"25-hydroxycholesterol7-alpha-hydroxylase"
1.14.13.105,"Monocyclicmonoterpeneketonemonooxygenase"
1.14.13.11,"Trans-cinnamate4-monooxygenase"
1.14.13.12,"Benzoate4-monooxygenase"
1.14.13.13,"Calcidiol1-monooxygenase"
1.14.13.15,"Cholestanetriol26-monooxygenase"
1.14.13.16,"Cyclopentanonemonooxygenase"
1.14.13.17,"Cholesterol7-alpha-monooxygenase"
1.14.13.2,"4-hydroxybenzoate3-monooxygenase"
1.14.13.20,"2,4-dichlorophenol6-monooxygenase"
1.14.13.21,"Flavonoid3{prime}-monooxygenase"
1.14.13.22,"Cyclohexanonemonooxygenase"
1.14.13.25,"Methanemonooxygenase"
1.14.13.30,"Leukotriene-B(4)20-monooxygenase"
1.14.13.32,"Albendazolemonooxygenase"
1.14.13.39,"Nitric-oxidesynthase"
1.14.13.41,"TyrosineN-monooxygenase"
1.14.13.48,"(S)-limonene6-monooxygenase"
1.14.13.49,"(S)-limonene7-monooxygenase"
1.14.13.50,"Pentachlorophenolmonooxygenase"
1.14.13.59,"L-lysine6-monooxygenase(NADPH)"
1.14.13.67,"Quinine3-monooxygenase"
1.14.13.68,"4-hydroxyphenylacetaldehydeoximemonooxygenase"
1.14.13.7,"Phenol2-monooxygenase"
1.14.13.70,"Sterol14-demethylase"
1.14.13.71,"N-methylcoclaurine3{prime}-monooxygenase"
1.14.13.72,"Methylsterolmonooxygenase"
1.14.13.73,"Tabersonine16-hydroxylase"
1.14.13.76,"Taxane10-beta-hydroxylase"
1.14.13.77,"Taxane13-alpha-hydroxylase"
1.14.13.78,"Ent-kaureneoxidase"
1.14.13.79,"Ent-kaurenoicacidoxidase"
1.14.13.8,"Flavin-containingmonooxygenase"
1.14.13.80,"(R)-limonene6-monooxygenase"
1.14.13.81,"Magnesium-protoporphyrinIXmonomethylester(oxidative)cyclase"
1.14.13.82,"Vanillatemonooxygenase"
1.14.13.83,"Precorrin-3Bsynthase"
1.14.13.84,"4-hydroxyacetophenonemonooxygenase"
1.14.13.87,"Licodionesynthase"
1.14.13.88,"Flavonoid3{prime},5{prime}-hydroxylase"
1.14.13.89,"Isoflavone2{prime}-hydroxylase"
1.14.13.9,"Kynurenine3-monooxygenase"
1.14.13.90,"Zeaxanthinepoxidase"
1.14.13.92,"Phenylacetonemonooxygenase"
1.14.13.93,"(+)-abscisicacid8{prime}-hydroxylase"
1.14.13.94,"Lithocholate6-beta-hydroxylase"
1.14.13.95,"7-alpha-hydroxycholest-4-en-3-one12-alpha-hydroxylase"
1.14.13.96,"5-beta-cholestane-3-alpha,7-alpha-diol12-alpha-hydroxylase"
1.14.13.97,"Taurochenodeoxycholate6-alpha-hydroxylase"
1.14.13.98,"Cholesterol24-hydroxylase"
1.14.13.99,"24-hydroxycholesterol7-alpha-hydroxylase"
1.14.14.1,"Unspecificmonooxygenase"
1.14.14.3,"Alkanalmonooxygenase(FMN-linked)"
1.14.14.5,"Alkanesulfonatemonooxygenase"
1.14.15.1,"Camphor5-monooxygenase"
1.14.15.3,"Alkane1-monooxygenase"
1.14.15.4,"Steroid11-beta-monooxygenase"
1.14.15.5,"Corticosterone18-monooxygenase"
1.14.15.6,"Cholesterolmonooxygenase(side-chain-cleaving)"
1.14.15.7,"Cholinemonooxygenase"
1.14.16.1,"Phenylalanine4-monooxygenase"
1.14.16.2,"Tyrosine3-monooxygenase"
1.14.16.4,"Tryptophan5-monooxygenase"
1.14.17.1,"Dopaminebeta-monooxygenase"
1.14.17.3,"Peptidylglycinemonooxygenase"
1.14.17.4,"Aminocyclopropanecarboxylateoxidase"
1.14.18.1,"Monophenolmonooxygenase"
1.14.18.2,"CMP-N-acetylneuraminatemonooxygenase"
1.14.19.1,"Stearoyl-CoA9-desaturase"
1.14.19.2,"Acyl-[acyl-carrier-protein]desaturase"
1.14.19.3,"Linoleoyl-CoAdesaturase"
1.14.20.1,"Deacetoxycephalosporin-Csynthase"
1.14.21.3,"Berbamuninesynthase"
1.14.21.6,"Lathosteroloxidase"
1.14.99.1,"Prostaglandin-endoperoxidesynthase"
1.14.99.10,"Steroid21-monooxygenase"
1.14.99.22,"Ecdysone20-monooxygenase"
1.14.99.28,"Linalool8-monooxygenase"
1.14.99.29,"Deoxyhypusinemonooxygenase"
1.14.99.3,"Hemeoxygenase"
1.14.99.30,"Carotene7,8-desaturase"
1.14.99.33,"Delta(12)-fattyaciddehydrogenase"
1.14.99.36,"Beta-carotene15,15{prime}-monooxygenase"
1.14.99.38,"Cholesterol25-hydroxylase"
1.14.99.7,"Squalenemonooxygenase"
1.14.99.9,"Steroid17-alpha-monooxygenase"
1.15.1.1,"Superoxidedismutase"
1.15.1.2,"Superoxidereductase"
1.16.1.1,"Mercury(II)reductase"
1.16.1.3,"Aquacobalaminreductase"
1.16.1.5,"Aquacobalaminreductase(NADPH)"
1.16.1.7,"Ferric-chelatereductase"
1.16.1.8,"[Methioninesynthase]reductase"
1.16.3.1,"Ferroxidase"
1.16.8.1,"Cob(II)yrinicacida,c-diamidereductase"
1.17.1.2,"4-hydroxy-3-methylbut-2-enyldiphosphatereductase"
1.17.1.3,"Leucoanthocyanidinreductase"
1.17.1.4,"Xanthinedehydrogenase"
1.17.3.2,"Xanthineoxidase"
1.17.4.1,"Ribonucleoside-diphosphatereductase"
1.17.4.2,"Ribonucleoside-triphosphatereductase"
1.17.4.3,"4-hydroxy-3-methylbut-2-en-1-yldiphosphatesynthase"
1.17.99.1,"4-cresoldehydrogenase(hydroxylating)"
1.17.99.3,"24-hydroxylase"
1.17.99.5,"Bile-acid7-alpha-dehydroxylase"
1.18.1.1,"Rubredoxin--NAD(+)reductase"
1.18.1.2,"Ferredoxin--NADP(+)reductase"
1.18.1.3,"Ferredoxin--NAD(+)reductase"
1.18.6.1,"Nitrogenase"
1.2.1.10,"Acetaldehydedehydrogenase(acetylating)"
1.2.1.11,"Aspartate-semialdehydedehydrogenase"
1.2.1.12,"Glyceraldehyde-3-phosphatedehydrogenase(phosphorylating)"
1.2.1.13,"Glyceraldehyde-3-phosphatedehydrogenase(NADP(+))(phosphorylating)"
1.2.1.16,"Succinate-semialdehydedehydrogenase(NAD(P)(+))"
1.2.1.18,"Malonate-semialdehydedehydrogenase(acetylating)"
1.2.1.19,"Aminobutyraldehydedehydrogenase"
1.2.1.2,"Formatedehydrogenase"
1.2.1.21,"Glycolaldehydedehydrogenase"
1.2.1.22,"Lactaldehydedehydrogenase"
1.2.1.24,"Succinate-semialdehydedehydrogenase"
1.2.1.27,"Methylmalonate-semialdehydedehydrogenase(acylating)"
1.2.1.28,"Benzaldehydedehydrogenase(NAD(+))"
1.2.1.3,"Aldehydedehydrogenase(NAD(+))"
1.2.1.31,"L-aminoadipate-semialdehydedehydrogenase"
1.2.1.36,"Retinaldehydrogenase"
1.2.1.38,"N-acetyl-gamma-glutamyl-phosphatereductase"
1.2.1.39,"Phenylacetaldehydedehydrogenase"
1.2.1.4,"Aldehydedehydrogenase(NADP(+))"
1.2.1.41,"Glutamate-5-semialdehydedehydrogenase"
1.2.1.46,"Formaldehydedehydrogenase"
1.2.1.47,"4-trimethylammoniobutyraldehydedehydrogenase"
1.2.1.5,"Aldehydedehydrogenase(NAD(P)(+))"
1.2.1.50,"Long-chain-fatty-acyl-CoAreductase"
1.2.1.51,"Pyruvatedehydrogenase(NADP(+))"
1.2.1.59,"Glyceraldehyde-3-phosphatedehydrogenase(NAD(P)(+))(phosphorylating)"
1.2.1.65,"Salicylaldehydedehydrogenase"
1.2.1.66,"Mycothiol-dependentformaldehydedehydrogenase"
1.2.1.68,"Coniferyl-aldehydedehydrogenase"
1.2.1.70,"Glutamyl-tRNAreductase"
1.2.1.71,"Succinylglutamate-semialdehydedehydrogenase"
1.2.1.72,"Erythrose-4-phosphatedehydrogenase"
1.2.1.8,"Betaine-aldehydedehydrogenase"
1.2.1.9,"Glyceraldehyde-3-phosphatedehydrogenase(NADP(+))"
1.2.2.2,"Pyruvatedehydrogenase(cytochrome)"
1.2.3.1,"Aldehydeoxidase"
1.2.3.14,"Abscisic-aldehydeoxidase"
1.2.3.3,"Pyruvateoxidase"
1.2.3.4,"Oxalateoxidase"
1.2.4.1,"Pyruvatedehydrogenase(acetyl-transferring)"
1.2.4.2,"Oxoglutaratedehydrogenase(succinyl-transferring)"
1.2.4.4,"3-methyl-2-oxobutanoatedehydrogenase(2-methylpropanoyl-transferring)"
1.2.7.1,"Pyruvatesynthase"
1.2.7.3,"2-oxoglutaratesynthase"
1.2.7.4,"Carbon-monoxidedehydrogenase(ferredoxin)"
1.2.7.5,"Aldehydeferredoxinoxidoreductase"
1.2.7.7,"3-methyl-2-oxobutanoatedehydrogenase(ferredoxin)"
1.2.7.8,"Indolepyruvateferredoxinoxidoreductase"
1.2.99.2,"Carbon-monoxidedehydrogenase(acceptor)"
1.2.99.3,"Aldehydedehydrogenase(pyrroloquinoline-quinone)"
1.2.99.5,"Formylmethanofurandehydrogenase"
1.2.99.7,"Aldehydedehydrogenase(FAD-independent)"
1.20.1.1,"Phosphonatedehydrogenase"
1.20.4.1,"Arsenatereductase(glutaredoxin)"
1.20.98.1,"Arsenatereductase(azurin)"
1.21.3.1,"Isopenicillin-Nsynthase"
1.21.3.3,"Reticulineoxidase"
1.21.4.1,"D-prolinereductase(dithiol)"
1.21.4.2,"Glycinereductase"
1.21.4.3,"Sarcosinereductase"
1.21.4.4,"Betainereductase"
1.3.1.10,"Enoyl-[acyl-carrier-protein]reductase(NADPH,B-specific)"
1.3.1.12,"Prephenatedehydrogenase"
1.3.1.13,"Prephenatedehydrogenase(NADP(+))"
1.3.1.19,"Cis-1,2-dihydrobenzene-1,2-dioldehydrogenase"
1.3.1.2,"Dihydropyrimidinedehydrogenase(NADP(+))"
1.3.1.20,"Trans-1,2-dihydrobenzene-1,2-dioldehydrogenase"
1.3.1.21,"7-dehydrocholesterolreductase"
1.3.1.24,"Biliverdinreductase"
1.3.1.25,"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylatedehydrogenase"
1.3.1.26,"Dihydrodipicolinatereductase"
1.3.1.28,"2,3-dihydro-2,3-dihydroxybenzoatedehydrogenase"
1.3.1.29,"Cis-1,2-dihydro-1,2-dihydroxynaphthalenedehydrogenase"
1.3.1.3,"Delta(4)-3-oxosteroid5-beta-reductase"
1.3.1.31,"2-enoatereductase"
1.3.1.32,"Maleylacetatereductase"
1.3.1.33,"Protochlorophyllidereductase"
1.3.1.34,"2,4-dienoyl-CoAreductase(NADPH)"
1.3.1.38,"Trans-2-enoyl-CoAreductase(NADPH)"
1.3.1.42,"12-oxophytodienoatereductase"
1.3.1.43,"Arogenatedehydrogenase"
1.3.1.44,"Trans-2-enoyl-CoAreductase(NAD(+))"
1.3.1.45,"2{prime}-hydroxyisoflavonereductase"
1.3.1.48,"15-oxoprostaglandin13-oxidase"
1.3.1.54,"Precorrin-6Areductase"
1.3.1.56,"Cis-2,3-dihydrobiphenyl-2,3-dioldehydrogenase"
1.3.1.57,"Phloroglucinolreductase"
1.3.1.58,"2,3-dihydroxy-2,3-dihydro-p-cumatedehydrogenase"
1.3.1.6,"Fumaratereductase(NADH)"
1.3.1.60,"Dibenzothiophenedihydrodioldehydrogenase"
1.3.1.70,"Delta(14)-sterolreductase"
1.3.1.71,"Delta(24(24(1)))-sterolreductase"
1.3.1.74,"2-alkenalreductase"
1.3.1.76,"Precorrin-2dehydrogenase"
1.3.1.77,"Anthocyanidinreductase"
1.3.1.78,"Arogenatedehydrogenase(NADP(+))"
1.3.1.80,"Redchlorophyllcatabolitereductase"
1.3.1.9,"Enoyl-[acyl-carrier-protein]reductase(NADH)"
1.3.3.1,"Dihydroorotateoxidase"
1.3.3.11,"Pyrroloquinoline-quinonesynthase"
1.3.3.3,"Coproporphyrinogenoxidase"
1.3.3.4,"Protoporphyrinogenoxidase"
1.3.3.5,"Bilirubinoxidase"
1.3.3.6,"Acyl-CoAoxidase"
1.3.3.9,"Secologaninsynthase"
1.3.5.1,"Succinatedehydrogenase(ubiquinone)"
1.3.7.2,"15,16-dihydrobiliverdin:ferredoxinoxidoreductase"
1.3.7.3,"Phycoerythrobilin:ferredoxinoxidoreductase"
1.3.7.4,"Phytochromobilin:ferredoxinoxidoreductase"
1.3.7.5,"Phycocyanobilin:ferredoxinoxidoreductase"
1.3.7.6,"Phycoerythrobilinsynthase"
1.3.99.1,"Succinatedehydrogenase"
1.3.99.10,"Isovaleryl-CoAdehydrogenase"
1.3.99.13,"Long-chain-acyl-CoAdehydrogenase"
1.3.99.15,"Benzoyl-CoAreductase"
1.3.99.16,"Isoquinoline1-oxidoreductase"
1.3.99.17,"Quinoline2-oxidoreductase"
1.3.99.2,"Butyryl-CoAdehydrogenase"
1.3.99.20,"4-hydroxybenzoyl-CoAreductase"
1.3.99.21,"(R)-benzylsuccinyl-CoAdehydrogenase"
1.3.99.22,"Coproporphyrinogendehydrogenase"
1.3.99.23,"All-trans-retinol13,14-reductase"
1.3.99.3,"Acyl-CoAdehydrogenase"
